BaseCode,SectionBreakStartKM,SectionBreakFinishKM
ARTC-12,201.36,201.38
ARTC-12,201.38,201.4
ARTC-12,201.4,201.42
ARTC-12,201.42,201.44
ARTC-12,201.44,201.46
ARTC-12,201.46,201.48
ARTC-12,201.48,201.5
ARTC-12,201.5,201.52
ARTC-12,201.52,201.54
ARTC-12,201.54,201.56
ARTC-12,201.56,201.58
ARTC-12,201.58,201.6
ARTC-12,201.6,201.62
ARTC-12,201.62,201.64
ARTC-12,201.64,201.66
ARTC-12,201.66,201.68
ARTC-12,201.68,201.7
ARTC-12,201.7,201.72
ARTC-12,201.72,201.74
ARTC-12,201.74,201.76
ARTC-12,201.76,201.78
ARTC-12,201.78,201.8
ARTC-12,201.8,201.82
ARTC-12,201.82,201.84
ARTC-12,201.84,201.86
ARTC-12,201.86,201.88
ARTC-12,201.88,201.9
ARTC-12,201.9,201.92
ARTC-12,201.92,201.94
ARTC-12,201.94,201.96
ARTC-12,201.96,201.98
ARTC-12,201.98,202
ARTC-12,202,202.02
ARTC-12,202.02,202.04
ARTC-12,202.04,202.06
ARTC-12,202.06,202.08
ARTC-12,202.08,202.1
ARTC-12,202.1,202.12
ARTC-12,202.12,202.14
ARTC-12,202.14,202.16
ARTC-12,202.16,202.18
ARTC-12,202.18,202.2
ARTC-12,202.2,202.22
ARTC-12,202.22,202.24
ARTC-12,202.24,202.26
ARTC-12,202.26,202.28
ARTC-12,202.28,202.3
ARTC-12,202.3,202.32
ARTC-12,202.32,202.34
ARTC-12,202.34,202.36
ARTC-12,202.36,202.38
ARTC-12,202.38,202.4
ARTC-12,202.4,202.42
ARTC-12,202.42,202.44
ARTC-12,202.44,202.46
ARTC-12,202.46,202.48
ARTC-12,202.48,202.5
ARTC-12,202.5,202.52
ARTC-12,202.52,202.54
ARTC-12,202.54,202.56
ARTC-12,202.56,202.58
ARTC-12,202.58,202.6
ARTC-12,202.6,202.62
ARTC-12,202.62,202.64
ARTC-12,202.64,202.66
ARTC-12,202.66,202.68
ARTC-12,202.68,202.7
ARTC-12,202.7,202.72
ARTC-12,202.72,202.74
ARTC-12,202.74,202.76
ARTC-12,202.76,202.78
ARTC-12,202.78,202.8
ARTC-12,202.8,202.82
ARTC-12,202.82,202.84
ARTC-12,202.84,202.86
ARTC-12,202.86,202.88
ARTC-12,202.88,202.9
ARTC-12,202.9,202.92
ARTC-12,202.92,202.94
ARTC-12,202.94,202.96
ARTC-12,202.96,202.98
ARTC-12,202.98,203
ARTC-12,203,203.02
ARTC-12,203.02,203.04
ARTC-12,203.04,203.06
ARTC-12,203.06,203.08
ARTC-12,203.08,203.1
ARTC-12,203.1,203.12
ARTC-12,203.12,203.14
ARTC-12,203.14,203.16
ARTC-12,203.16,203.18
ARTC-12,203.18,203.2
ARTC-12,203.2,203.22
ARTC-12,203.22,203.24
ARTC-12,203.24,203.26
ARTC-12,203.26,203.28
ARTC-12,203.28,203.3
ARTC-12,203.3,203.32
ARTC-12,203.32,203.34
ARTC-12,203.34,203.36
ARTC-12,203.36,203.38
ARTC-12,203.38,203.4
ARTC-12,203.4,203.42
ARTC-12,203.42,203.44
ARTC-12,203.44,203.46
ARTC-12,203.46,203.48
ARTC-12,203.48,203.5
ARTC-12,203.5,203.52
ARTC-12,203.52,203.54
ARTC-12,203.54,203.56
ARTC-12,203.56,203.58
ARTC-12,203.58,203.6
ARTC-12,203.6,203.62
ARTC-12,203.62,203.64
ARTC-12,203.64,203.66
ARTC-12,203.66,203.68
ARTC-12,203.68,203.7
ARTC-12,203.7,203.72
ARTC-12,203.72,203.74
ARTC-12,203.74,203.76
ARTC-12,203.76,203.78
ARTC-12,203.78,203.8
ARTC-12,203.8,203.82
ARTC-12,203.82,203.84
ARTC-12,203.84,203.86
ARTC-12,203.86,203.88
ARTC-12,203.88,203.9
ARTC-12,203.9,203.92
ARTC-12,203.92,203.94
ARTC-12,203.94,203.96
ARTC-12,203.96,203.98
ARTC-12,203.98,204
ARTC-12,204,204.02
ARTC-12,204.02,204.04
ARTC-12,204.04,204.06
ARTC-12,204.06,204.08
ARTC-12,204.08,204.1
ARTC-12,204.1,204.12
ARTC-12,204.12,204.14
ARTC-12,204.14,204.16
ARTC-12,204.16,204.18
ARTC-12,204.18,204.2
ARTC-12,204.2,204.22
ARTC-12,204.22,204.24
ARTC-12,204.24,204.26
ARTC-12,204.26,204.28
ARTC-12,204.28,204.3
ARTC-12,204.3,204.32
ARTC-12,204.32,204.34
ARTC-12,204.34,204.36
ARTC-12,204.36,204.38
ARTC-12,204.38,204.4
ARTC-12,204.4,204.42
ARTC-12,204.42,204.44
ARTC-12,204.44,204.46
ARTC-12,204.46,204.48
ARTC-12,204.48,204.5
ARTC-12,204.5,204.52
ARTC-12,204.52,204.54
ARTC-12,204.54,204.56
ARTC-12,204.56,204.58
ARTC-12,204.58,204.6
ARTC-12,204.6,204.62
ARTC-12,204.62,204.64
ARTC-12,204.64,204.66
ARTC-12,204.66,204.68
ARTC-12,204.68,204.7
ARTC-12,204.7,204.72
ARTC-12,204.72,204.74
ARTC-12,204.74,204.76
ARTC-12,204.76,204.78
ARTC-12,204.78,204.8
ARTC-12,204.8,204.82
ARTC-12,204.82,204.84
ARTC-12,204.84,204.86
ARTC-12,204.86,204.88
ARTC-12,204.88,204.9
ARTC-12,204.9,204.92
ARTC-12,204.92,204.94
ARTC-12,204.94,204.96
ARTC-12,204.96,204.98
ARTC-12,204.98,205
ARTC-12,205,205.02
ARTC-12,205.02,205.04
ARTC-12,205.04,205.06
ARTC-12,205.06,205.08
ARTC-12,205.08,205.1
ARTC-12,205.1,205.12
ARTC-12,205.12,205.14
ARTC-12,205.14,205.16
ARTC-12,205.16,205.18
ARTC-12,205.18,205.2
ARTC-12,205.2,205.22
ARTC-12,205.22,205.24
ARTC-12,205.24,205.26
ARTC-12,205.26,205.28
ARTC-12,205.28,205.3
ARTC-12,205.3,205.32
ARTC-12,205.32,205.34
ARTC-12,205.34,205.36
ARTC-12,205.36,205.38
ARTC-12,205.38,205.4
ARTC-12,205.4,205.42
ARTC-12,205.42,205.44
ARTC-12,205.44,205.46
ARTC-12,205.46,205.48
ARTC-12,205.48,205.5
ARTC-12,205.5,205.52
ARTC-12,205.52,205.54
ARTC-12,205.54,205.56
ARTC-12,205.56,205.58
ARTC-12,205.58,205.6
ARTC-12,205.6,205.62
ARTC-12,205.62,205.64
ARTC-12,205.64,205.66
ARTC-12,205.66,205.68
ARTC-12,205.68,205.7
ARTC-12,205.7,205.72
ARTC-12,205.72,205.74
ARTC-12,205.74,205.76
ARTC-12,205.76,205.78
ARTC-12,205.78,205.8
ARTC-12,205.8,205.82
ARTC-12,205.82,205.84
ARTC-12,205.84,205.86
ARTC-12,205.86,205.88
ARTC-12,205.88,205.9
ARTC-12,205.9,205.92
ARTC-12,205.92,205.94
ARTC-12,205.94,205.96
ARTC-12,205.96,205.98
ARTC-12,205.98,206
ARTC-12,206,206.02
ARTC-12,206.02,206.04
ARTC-12,206.04,206.06
ARTC-12,206.06,206.08
ARTC-12,206.08,206.1
ARTC-12,206.1,206.12
ARTC-12,206.12,206.14
ARTC-12,206.14,206.16
ARTC-12,206.16,206.18
